taxa_id;W;detected_0.9;detected_0.8;detected_0.7;detected_0.6
Otu0538;0;FALSE;FALSE;FALSE;FALSE
Otu0541;Inf;TRUE;TRUE;TRUE;TRUE
Otu0542;0;FALSE;FALSE;FALSE;FALSE
Otu0543;0;FALSE;FALSE;FALSE;FALSE
Otu0549;Inf;TRUE;TRUE;TRUE;TRUE
Otu0550;Inf;TRUE;TRUE;TRUE;TRUE
Otu0551;0;FALSE;FALSE;FALSE;FALSE
Otu0553;0;FALSE;FALSE;FALSE;FALSE
Otu0555;Inf;TRUE;TRUE;TRUE;TRUE
Otu0556;Inf;TRUE;TRUE;TRUE;TRUE
Otu0559;Inf;TRUE;TRUE;TRUE;TRUE
Otu0560;0;FALSE;FALSE;FALSE;FALSE
Otu0562;Inf;TRUE;TRUE;TRUE;TRUE
Otu0565;0;FALSE;FALSE;FALSE;FALSE
Otu0567;0;FALSE;FALSE;FALSE;FALSE
Otu0568;0;FALSE;FALSE;FALSE;FALSE
Otu0569;0;FALSE;FALSE;FALSE;FALSE
Otu0575;0;FALSE;FALSE;FALSE;FALSE
Otu0579;0;FALSE;FALSE;FALSE;FALSE
Otu0582;0;FALSE;FALSE;FALSE;FALSE
Otu0585;0;FALSE;FALSE;FALSE;FALSE
Otu0588;0;FALSE;FALSE;FALSE;FALSE
Otu0589;0;FALSE;FALSE;FALSE;FALSE
Otu0590;Inf;TRUE;TRUE;TRUE;TRUE
Otu0592;Inf;TRUE;TRUE;TRUE;TRUE
Otu0593;Inf;TRUE;TRUE;TRUE;TRUE
Otu0596;0;FALSE;FALSE;FALSE;FALSE
Otu0601;Inf;TRUE;TRUE;TRUE;TRUE
Otu0602;Inf;TRUE;TRUE;TRUE;TRUE
Otu0604;0;FALSE;FALSE;FALSE;FALSE
Otu0605;0;FALSE;FALSE;FALSE;FALSE
Otu0606;0;FALSE;FALSE;FALSE;FALSE
Otu0608;0;FALSE;FALSE;FALSE;FALSE
Otu0610;0;FALSE;FALSE;FALSE;FALSE
Otu0611;0;FALSE;FALSE;FALSE;FALSE
Otu0612;0;FALSE;FALSE;FALSE;FALSE
Otu0616;0;FALSE;FALSE;FALSE;FALSE
Otu0618;0;FALSE;FALSE;FALSE;FALSE
Otu0622;0;FALSE;FALSE;FALSE;FALSE
Otu0626;0;FALSE;FALSE;FALSE;FALSE
Otu0629;Inf;TRUE;TRUE;TRUE;TRUE
Otu0630;Inf;TRUE;TRUE;TRUE;TRUE
Otu0632;Inf;TRUE;TRUE;TRUE;TRUE
Otu0633;0;FALSE;FALSE;FALSE;FALSE
Otu0634;0;FALSE;FALSE;FALSE;FALSE
Otu0636;0;FALSE;FALSE;FALSE;FALSE
Otu0638;Inf;TRUE;TRUE;TRUE;TRUE
Otu0640;0;FALSE;FALSE;FALSE;FALSE
Otu0641;0;FALSE;FALSE;FALSE;FALSE
Otu0643;Inf;TRUE;TRUE;TRUE;TRUE
Otu0644;0;FALSE;FALSE;FALSE;FALSE
Otu0645;0;FALSE;FALSE;FALSE;FALSE
Otu0647;Inf;TRUE;TRUE;TRUE;TRUE
Otu0651;Inf;TRUE;TRUE;TRUE;TRUE
Otu0652;0;FALSE;FALSE;FALSE;FALSE
Otu0657;0;FALSE;FALSE;FALSE;FALSE
Otu0663;0;FALSE;FALSE;FALSE;FALSE
Otu0667;0;FALSE;FALSE;FALSE;FALSE
Otu0668;0;FALSE;FALSE;FALSE;FALSE
Otu0676;0;FALSE;FALSE;FALSE;FALSE
Otu0682;0;FALSE;FALSE;FALSE;FALSE
Otu0684;Inf;TRUE;TRUE;TRUE;TRUE
Otu0686;0;FALSE;FALSE;FALSE;FALSE
Otu0690;0;FALSE;FALSE;FALSE;FALSE
