"";"baseMean";"log2FoldChange";"lfcSE";"stat";"pvalue";"padj"
"Otu0156";0,591937333349377;1,79814907336486;2,78717276576704;0,645151637333111;0,518828923555907;0,998932861296266
"Otu0157";2,24788486756339;0,0898899161585525;2,37818109161364;0,0377977591679364;0,969848931022135;0,998932861296266
"Otu0158";1,31106482254754;1,32692486406476;2,96638619502008;0,447320334180485;0,654643787247819;0,998932861296266
"Otu0159";10,1126593760899;1,83503126277413;1,51274173885388;1,21304993155304;0,225110730849826;0,998932861296266
"Otu0160";4,14406538632148;-1,3997565739244;2,57630976091601;-0,543318429778692;0,586910577202201;0,998932861296266
"Otu0161";0,279669607778796;-0,386408480364674;3,03537293984942;-0,127301813655835;0,898701524897497;0,998932861296266
"Otu0164";5,74323080877493;0,492684351147449;1,75660522225589;0,280475285456984;0,779112884180784;0,998932861296266
"Otu0167";0,940405853065585;-0,48405335173995;2,52273911206158;-0,191876103805431;0,847839256036795;0,998932861296266
"Otu0168";17,7961589206781;0,112557172007426;1,90840019053033;0,0589798578756941;0,952968151265531;0,998932861296266
"Otu0169";1,90847552159932;1,2445108617023;2,23302443023324;0,557320755139392;0,577308297510308;0,998932861296266
"Otu0170";1,12541501346108;2,61287955632191;2,47410260989565;1,05609183138614;0,290926262015644;0,998932861296266
"Otu0171";3,50649250834399;1,81093789945832;1,91191241658196;0,947186640848249;0,343543681504741;0,998932861296266
"Otu0172";1,75211869512977;1,25075443259451;2,19531400997144;0,569738282046849;0,568855221173902;0,998932861296266
"Otu0173";2,70022817084005;0,714894836123227;2,59108904362831;0,275905159601215;0,782620910891041;0,998932861296266
"Otu0174";4,24569062530233;-0,0431227548548589;2,24987505850584;-0,0191667331445049;0,984708095830349;0,998932861296266
"Otu0175";0,465225700911189;0,937506966739936;2,63805301429129;0,355378364900599;0,7223061547531;0,998932861296266
"Otu0176";0,894725046066095;-3,19815199268362;2,98938346919304;-1,06983664880803;0,284692842755102;0,998932861296266
"Otu0177";3,29841471064378;-4,14822776310811;2,24899208328775;-1,84448304373038;0,0651127747232712;0,998932861296266
"Otu0178";0,39686090035567;0,134956737367117;2,93168713105048;0,0460338130688451;0,963283299534993;0,998932861296266
"Otu0181";18,0152853202069;0,572479548657228;1,47116024294205;0,389134733217352;0,697176480983659;0,998932861296266
"Otu0183";7,80955129597827;-1,22757684285099;2,19082875635084;-0,560325328619343;0,575257554003319;0,998932861296266
"Otu0184";2,46604568646765;1,3909283187926;2,35332713701854;0,59104758404086;0,554488538640025;0,998932861296266
"Otu0185";0,419058157037177;-0,801736125374499;3,02417699167681;-0,265108863529169;0,790925599462496;0,998932861296266
"Otu0187";1,98102959582779;-0,0407700081611783;2,56618218742873;-0,0158874176435731;0,987324208002935;0,998932861296266
"Otu0188";0,196650013821362;0,489494403657921;3,03621934696467;0,161218392915937;0,871921395155822;0,998932861296266
"Otu0189";0,342553561558434;-1,80819140102253;3,01496836469164;-0,599738100803411;0,548680791724195;0,998932861296266
"Otu0190";1,56862101342623;1,63641592900431;2,5699136166671;0,636759118435492;0,524281758908846;0,998932861296266
"Otu0191";4,19572650271923;1,46825205885544;1,7747274953207;0,827311270449507;0,408060657348512;0,998932861296266
"Otu0192";0,425332403167632;1,92020773571913;3,00390355594071;0,639237478820386;0,522668454041848;0,998932861296266
"Otu0195";0,52691557573738;-0,289345814820331;2,62456802697872;-0,110245119138105;0,912214980429615;0,998932861296266
"Otu0196";2,05237985429273;3,92126988381029;1,92573654945056;2,03624420221399;0,0417258396941119;0,998932861296266
"Otu0197";1,62940693876193;0,551329434741778;2,51174218524802;0,219500806245103;0,826259951885483;0,998932861296266
"Otu0198";9,86632052269359;-0,225142308757957;1,87803061803873;-0,119882128968205;0,904576521385451;0,998932861296266
"Otu0200";1,03513337811837;-0,215846692787329;2,17312735824419;-0,0993253763837041;0,92087993059786;0,998932861296266
"Otu0201";3,64267822040729;-3,18297254892168;2,39528117536934;-1,3288513188565;0,18389702727435;0,998932861296266
"Otu0202";4,06786390737745;2,04358400861879;1,93711595267322;1,0549621491675;0,291442636212071;0,998932861296266
"Otu0205";1,13007313523006;1,86886099071087;2,54390660372711;0,734642139759681;0,462557466894776;0,998932861296266
"Otu0207";2,7504487339002;1,7592959772499;2,20590433527131;0,797539561947289;0,425137735864703;0,998932861296266
"Otu0209";1,30243949459499;0,43046632286701;2,21360604805174;0,194463835715427;0,845812710086028;0,998932861296266
"Otu0210";0,544547481313864;-1,55984218982434;3,01114482506351;-0,51802297147612;0,604442242023384;0,998932861296266
"Otu0213";2,58421385872117;4,83281374604371;2,34612181445786;2,05991594991434;0,039406576631124;0,998932861296266
"Otu0214";0,416163095837982;-1,23680631622151;3,0021102284011;-0,411978982157569;0,680354828546675;0,998932861296266
"Otu0215";3,92443761809666;1,01214581330063;2,21473642590054;0,457005087135405;0,647667389034272;0,998932861296266
"Otu0216";2,3366112464192;2,15524807689189;2,736309234561;0,787647846840551;0,430902719357251;0,998932861296266
"Otu0217";1,05476938035867;-3,35511835728336;2,91803879950216;-1,14978538251643;0,250232277230453;0,998932861296266
"Otu0219";0,416286067578113;-1,15017624081141;3,02574053237556;-0,380130493181576;0,703848551452435;0,998932861296266
"Otu0221";0,361605064387851;1,75800695160418;2,982501294853;0,589440465503914;0,555565838110895;0,998932861296266
"Otu0222";1,22739317299379;2,25380079759157;2,50454467470302;0,899884446205306;0,368181748211825;0,998932861296266
"Otu0223";2,88748679490311;-0,0237964841241293;1,88247071645344;-0,0126410912616807;0,989914137066743;0,998932861296266
"Otu0225";5,2632800776842;0,511936869814333;1,68334001560499;0,304119705507235;0,761036694606585;0,998932861296266
"Otu0226";0,323536283500317;-1,84267043306534;3,01417555412685;-0,611334807802569;0,540977951830617;0,998932861296266
"Otu0227";0,975480462275265;2,1252731082839;2,50520050172982;0,848344516463418;0,396246132507855;0,998932861296266
"Otu0228";0,89141949845425;1,10467502839215;2,74986705708098;0,401719430598501;0,687890522915383;0,998932861296266
"Otu0229";0,222766121547461;0,846941614680527;3,03025781115146;0,279494903556968;0,779865048623239;0,998932861296266
"Otu0231";0,913279531205202;-1,85273512159856;2,77036177906567;-0,668770099125253;0,503642143286032;0,998932861296266
"Otu0232";3,79273314332087;0,178290401396864;1,66546673605612;0,107051313326774;0,914748271459867;0,998932861296266
"Otu0233";0,700443579984872;-2,87354980540858;2,99362824358705;-0,95988866071273;0,337111253731547;0,998932861296266
"Otu0236";0,292867830604733;0,0975363362360879;3,03540436739085;0,0321328971137798;0,974366068845851;0,998932861296266
"Otu0237";3,85045001620217;-0,389033133432531;2,03973424922042;-0,190727362440091;0,848739200068961;0,998932861296266
"Otu0238";0,650198183619391;1,68050830428327;3,01439840221009;0,557493761624594;0,577190120179345;0,998932861296266
"Otu0239";4,98243127855407;2,30398524529588;2,2061428772595;1,04434996891857;0,296323502027395;0,998932861296266
"Otu0240";1,38674470158276;3,88100265188497;2,63568009776705;1,47248623046968;0,140889622641904;0,998932861296266
"Otu0241";3,71975267946521;2,70355633582179;2,20854931478049;1,22413220195199;0,220902359984039;0,998932861296266
"Otu0242";3,22896265540556;-1,06167090686932;1,75557532566223;-0,604742440469676;0,545350144056766;0,998932861296266
"Otu0244";6,43772872207443;-0,591529479364701;1,41356584352817;-0,418466166307671;0,67560631864223;0,998932861296266
"Otu0246";1,55780160814425;1,30891984677794;2,3544158255356;0,555942511336191;0,578250155553991;0,998932861296266
"Otu0247";1,35167761146655;3,14266418437107;2,92817311634782;1,07325081526968;0,283158596661395;0,998932861296266
"Otu0248";1,48311545474267;-0,221398226147275;2,03643110159845;-0,108718741318326;0,913425576544785;0,998932861296266
"Otu0250";0,342553561558434;-1,80819140102253;3,01496836469164;-0,599738100803411;0,548680791724195;0,998932861296266
"Otu0252";1,9470978144358;-1,13349167426294;2,56171407962825;-0,442473921378232;0,658146297541383;0,998932861296266
"Otu0254";4,51745077308254;-1,0677592888349;2,19184632131761;-0,48715061747259;0,626151597903779;0,998932861296266
"Otu0255";1,63075473505487;1,92938645366938;1,60099770488933;1,20511506529783;0,22815888470462;0,998932861296266
"Otu0258";4,35731175416555;0,286806516627632;1,52876131897309;0,187607125499675;0,851184640090131;0,998932861296266
"Otu0261";2,57644719826669;3,02269953381925;2,37063527092111;1,27505887172799;0,202288405213314;0,998932861296266
"Otu0263";0,100815771941592;1,190971068362;3,02266753174104;0,394013253477469;0,693571254260352;0,998932861296266
"Otu0265";0,302980879134581;-0,673806766217813;3,03199764067197;-0,222231955981496;0,824133318749118;0,998932861296266
"Otu0267";0,771264745398853;1,12876210031341;3,00531854372744;0,375588172731075;0,707223084864802;0,998932861296266
"Otu0268";1,78206265556403;4,2473052779606;2,24897186315158;1,88855420894802;0,0589515876899769;0,998932861296266
"Otu0269";2,14597337043886;1,16361278798288;2,00045115276216;0,581675181808963;0,560785491530322;0,998932861296266
"Otu0271";3,27310701508096;-0,212822615668568;1,87412616303471;-0,113558318466645;0,909587930582508;0,998932861296266
"Otu0273";0,44091950977883;-1,69661642631697;3,00816899432995;-0,564003029588728;0,572752070327312;0,998932861296266
